JobID,JobName,Start,End,Elapsed,ReqMem,MaxRSS,ReqCPUS,NCPUS,CPUTime,CPUTimeRAW,Partition,ExitCode,State
4258436,abyss-short_BS02_240_133-2_IL100x,2025-12-16T22:01:38,2025-12-16T22:27:18,00:25:40,100G,,10,10,04:16:40,15400,general,0:0,COMPLETED
4258436.batch,batch,2025-12-16T22:01:38,2025-12-16T22:27:18,00:25:40,,35652508K,10,10,04:16:40,15400,,0:0,COMPLETED
4258437,abyss-short_BS02_240_133-4_IL10x,2025-12-16T22:01:47,2025-12-16T22:05:46,00:03:59,100G,,10,10,00:39:50,2390,jrw0107_std,0:0,COMPLETED
4258437.batch,batch,2025-12-16T22:01:47,2025-12-16T22:05:46,00:03:59,,13261684K,10,10,00:39:50,2390,,0:0,COMPLETED
4258438,abyss-short_BS02_240_133-4_IL15x,2025-12-16T22:02:08,2025-12-16T22:07:16,00:05:08,100G,,10,10,00:51:20,3080,general,0:0,COMPLETED
4258438.batch,batch,2025-12-16T22:02:08,2025-12-16T22:07:16,00:05:08,,15020548K,10,10,00:51:20,3080,,0:0,COMPLETED
4258439,abyss-short_BS02_240_133-4_IL20x,2025-12-16T22:03:07,2025-12-16T22:09:16,00:06:09,100G,,10,10,01:01:30,3690,general,0:0,COMPLETED
4258439.batch,batch,2025-12-16T22:03:07,2025-12-16T22:09:16,00:06:09,,13700488K,10,10,01:01:30,3690,,0:0,COMPLETED
4258440,abyss-short_BS02_240_133-4_IL25x,2025-12-16T22:03:07,2025-12-16T22:10:37,00:07:30,100G,,10,10,01:15:00,4500,general,0:0,COMPLETED
4258440.batch,batch,2025-12-16T22:03:07,2025-12-16T22:10:37,00:07:30,,17661696K,10,10,01:15:00,4500,,0:0,COMPLETED
4258441,abyss-short_BS02_240_133-4_IL30x,2025-12-16T22:03:07,2025-12-16T22:11:47,00:08:40,100G,,10,10,01:26:40,5200,general,0:0,COMPLETED
4258441.batch,batch,2025-12-16T22:03:07,2025-12-16T22:11:47,00:08:40,,16227332K,10,10,01:26:40,5200,,0:0,COMPLETED
4258442,abyss-short_BS02_240_133-4_IL35x,2025-12-16T22:04:08,2025-12-16T22:14:08,00:10:00,100G,,10,10,01:40:00,6000,general,0:0,COMPLETED
4258442.batch,batch,2025-12-16T22:04:08,2025-12-16T22:14:08,00:10:00,,20651812K,10,10,01:40:00,6000,,0:0,COMPLETED
4258443,abyss-short_BS02_240_133-4_IL40x,2025-12-16T22:04:08,2025-12-16T22:15:22,00:11:14,100G,,10,10,01:52:20,6740,general,0:0,COMPLETED
4258443.batch,batch,2025-12-16T22:04:08,2025-12-16T22:15:22,00:11:14,,18559304K,10,10,01:52:20,6740,,0:0,COMPLETED
4258444,abyss-short_BS02_240_133-4_IL50x,2025-12-16T22:04:41,2025-12-16T22:18:18,00:13:37,100G,,10,10,02:16:10,8170,general,0:0,COMPLETED
4258444.batch,batch,2025-12-16T22:04:41,2025-12-16T22:18:18,00:13:37,,20500496K,10,10,02:16:10,8170,,0:0,COMPLETED
4258445,abyss-short_BS02_240_133-4_IL60x,2025-12-16T22:04:41,2025-12-16T22:20:50,00:16:09,100G,,10,10,02:41:30,9690,general,0:0,COMPLETED
4258445.batch,batch,2025-12-16T22:04:41,2025-12-16T22:20:50,00:16:09,,22607756K,10,10,02:41:30,9690,,0:0,COMPLETED
4258446,abyss-short_BS02_240_133-4_IL75x,2025-12-16T22:04:46,2025-12-16T22:24:48,00:20:02,100G,,10,10,03:20:20,12020,jrw0107_std,0:0,COMPLETED
4258446.batch,batch,2025-12-16T22:04:46,2025-12-16T22:24:48,00:20:02,,25832968K,10,10,03:20:20,12020,,0:0,COMPLETED
4258447,abyss-short_BS02_240_133-4_IL100x,2025-12-16T22:05:07,2025-12-16T22:31:16,00:26:09,100G,,10,10,04:21:30,15690,general,0:0,COMPLETED
4258447.batch,batch,2025-12-16T22:05:07,2025-12-16T22:31:16,00:26:09,,35060648K,10,10,04:21:30,15690,,0:0,COMPLETED
4258448,abyss-short_BS02_240_140-5_IL10x,2025-12-16T22:05:47,2025-12-16T22:14:27,00:08:40,100G,,10,10,01:26:40,5200,jrw0107_std,0:0,COMPLETED
4258448.batch,batch,2025-12-16T22:05:47,2025-12-16T22:14:27,00:08:40,,17096384K,10,10,01:26:40,5200,,0:0,COMPLETED
4258449,abyss-short_BS02_240_140-5_IL15x,2025-12-16T22:06:07,2025-12-16T22:17:33,00:11:26,100G,,10,10,01:54:20,6860,general,0:0,COMPLETED
4258449.batch,batch,2025-12-16T22:06:07,2025-12-16T22:17:33,00:11:26,,20243012K,10,10,01:54:20,6860,,0:0,COMPLETED
4258450,abyss-short_BS02_240_140-5_IL20x,2025-12-16T22:06:07,2025-12-16T22:20:35,00:14:28,100G,,10,10,02:24:40,8680,general,0:0,COMPLETED
4258450.batch,batch,2025-12-16T22:06:07,2025-12-16T22:20:35,00:14:28,,22684084K,10,10,02:24:40,8680,,0:0,COMPLETED
4258451,abyss-short_BS02_240_140-5_IL25x,2025-12-16T22:07:44,2025-12-16T22:25:38,00:17:54,100G,,10,10,02:59:00,10740,general,0:0,COMPLETED
4258451.batch,batch,2025-12-16T22:07:44,2025-12-16T22:25:38,00:17:54,,30130240K,10,10,02:59:00,10740,,0:0,COMPLETED
4258452,abyss-short_BS02_240_140-5_IL30x,2025-12-16T22:07:44,2025-12-16T22:28:50,00:21:06,100G,,10,10,03:31:00,12660,general,0:0,COMPLETED
4258452.batch,batch,2025-12-16T22:07:44,2025-12-16T22:28:50,00:21:06,,32900152K,10,10,03:31:00,12660,,0:0,COMPLETED
4258453,abyss-short_BS02_240_140-5_IL35x,2025-12-16T22:08:07,2025-12-16T22:31:58,00:23:51,100G,,10,10,03:58:30,14310,general,0:0,COMPLETED
4258453.batch,batch,2025-12-16T22:08:07,2025-12-16T22:31:58,00:23:51,,35630088K,10,10,03:58:30,14310,,0:0,COMPLETED
4258454,abyss-short_BS02_240_140-5_IL40x,2025-12-16T22:08:14,2025-12-16T22:35:52,00:27:38,100G,,10,10,04:36:20,16580,general,0:0,COMPLETED
4258454.batch,batch,2025-12-16T22:08:14,2025-12-16T22:35:52,00:27:38,,38632440K,10,10,04:36:20,16580,,0:0,COMPLETED
4258455,abyss-short_BS02_240_140-5_IL50x,2025-12-16T22:08:45,2025-12-16T22:43:37,00:34:52,100G,,10,10,05:48:40,20920,general,0:0,COMPLETED
4258455.batch,batch,2025-12-16T22:08:45,2025-12-16T22:43:37,00:34:52,,44494012K,10,10,05:48:40,20920,,0:0,COMPLETED
4258456,abyss-short_BS02_240_140-5_IL60x,2025-12-16T22:09:46,2025-12-16T22:51:16,00:41:30,100G,,10,10,06:55:00,24900,general,0:0,COMPLETED
4258456.batch,batch,2025-12-16T22:09:46,2025-12-16T22:51:16,00:41:30,,50358800K,10,10,06:55:00,24900,,0:0,COMPLETED
4258457,abyss-short_BS02_240_140-5_IL75x,2025-12-16T22:09:46,2025-12-16T23:01:10,00:51:24,100G,,10,10,08:34:00,30840,general,0:0,COMPLETED
4258457.batch,batch,2025-12-16T22:09:46,2025-12-16T23:01:10,00:51:24,,57032260K,10,10,08:34:00,30840,,0:0,COMPLETED
