sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS09_360_082-3	np	32023430	32126895	32075162.5	94.9914	98.9397	96.96555000000000	1.31336	1.31336	1.31336	2158034658	562.516870152182	67.28055260826820
BS09_360_082-3	illumina	30138335	30191909	30165122	97.3206	98.1037	97.71215000000000	0.835012	0.835012	0.835012	3866077355	126	128.16382294094500
BS11_240_256-2	chopper	28733583	29660195	29196889	88.8956	96.5848	92.7402	1.68826	1.68826	1.68826	565506707	2127.652788490120	19.36873161383740
BS11_240_256-2	np	28257039	28358182	28307610.5	92.9057	99.3642	96.13495	1.98869	1.98869	1.98869	1425240685	580.8151005170220	50.34832187619650
BS11_240_256-2	illumina	53997649	56322343	55159996	81.6039	84.8156	83.20975	1.22784	1.22784	1.22784	5272698400	127	95.58917299413870
BS11_CNT_642-2	chopper	384254	445669	414961.5	68.7939	76.7868	72.79035000000000	10.8499	10.8499	10.8499	427021329	2120.4437762869800	1029.0625250776300
BS11_CNT_642-2	np	3020372	3262789	3141580.5	74.053	84.4712	79.2621	6.85405	6.85405	6.85405	960196479	626.5825993158600	305.64121435054700
BS11_CNT_642-2	illumina	124365590	142629753	133497671.5	87.9413	98.5544	93.24785	0.888649	0.888649	0.888649	9734461496	127	72.9185864189399
BS11_CNT_642-4	chopper	23005224	23605114	23305169	73.1623	74.5809	73.8716	1.08541	1.08541	1.08541	1669658740	2425.8141068854900	71.64327965182320
BS11_CNT_642-4	np	46841490	47358949	47100219.5	81.9318	83.6379	82.78485	0.803414	0.803414	0.803414	3670074837	684.8002881327090	77.92054635753870
BS11_CNT_642-4	illumina	31869461	32037594	31953527.5	98.2524	98.2524	98.2524	0.626626	0.626626	0.626626	9478024742	127	296.6190428271180
BS12_120_844-2	chopper	25821029	25999397	25910213	96.635	98.0909	97.36295000000000	0.674657	0.674657	0.674657	1218230848	2121.6917511786400	47.017399972744300
BS12_120_844-2	np	52763835	52822758	52793296.5	97.8804	99.5409	98.71065000000000	0.66203	0.66203	0.66203	2162696528	877.5678051761450	40.96536248688320
BS12_120_844-2	illumina	48503327	48673367	48588347	95.9605	96.0074	95.98395	0.70598	0.70598	0.70598	6951663963	127	143.07265820341700
BS12_240_821-3	chopper	24749745	24767058	24758401.5	98.6651	99.6777	99.1714	0.798669	0.798669	0.798669	615625178	2074.900920455270	24.86530392521500
