sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS02_240_133-4	np	34951879	34984338	34968108.5	98.617	99.6023	99.10965	0.759925	0.759925	0.759925	1714875036	633.970518037868	49.04111516354967
BS02_240_133-4	illumina	33360255	33407018	33383636.5	98.2195	98.2195	98.2195	0.59106	0.59106	0.59106	5216724981	127	156.2659292974269
BS02_240_140-5	chopperk57p1	15058851	15637211	15348031	84.0296	88.1153	86.07245	2.01215	2.01215	2.01215	1337169740	2063.068722170622	87.12321078840667
BS02_240_140-5	chopperk21p1	15637812	16491306	16064559	79.8484	83.8048	81.8266	4.6749	4.6749	4.6749	1337169740	2063.068722170622	83.23725164195295
BS02_240_140-5	chopperk13p1	15681744	NA	NA	88.5044	76.0525	82.27844999999999	0.00525765	0.00525765	0.00525765	1337169740	2063.068722170622	NA
BS02_240_140-5	chopperk13	588428	NA	NA	88.4438	70.6284	79.5361	0.00409788	0.00409788	0.00409788	1337169740	2063.068722170622	NA
BS02_240_140-5	chopperk101	3576975	3641817	3609396	93.9844	95.638	94.8112	1.30207	1.30207	1.30207	1337169740	2063.068722170622	370.46911450004376
BS02_240_140-5	chopper	48244007	195451137	121847572	58.1172	59.0975	58.60735	0.600694	0.600694	0.600694	1337169740	2063.068722170622	10.974118876985091
BS02_240_140-5	np	66873410	76491469	71682439.5	64.4892	93.9665	79.22784999999999	0.833365	0.833365	0.833365	2438565772	763.4967212950509	34.01901203432118
BS02_240_140-5	illumina	66761084	67250079	67005581.5	91.2522	97.6123	94.43225000000001	0.942189	0.942189	0.942189	8307589557	127	123.98354541554124
BS04_120_524-1	chopperk57p1	43312	43640	43476	89.9502	89.9502	89.9502	5.97056	5.97056	5.97056	201440461	5255.014243602118	4633.371538319992
BS04_120_524-1	chopperk21p1	43906	44845	44375.5	70.9975	70.9975	70.9975	14.587	14.587	14.587	201440461	5255.014243602118	4539.4521977217155
BS04_120_524-1	chopperk13p1	7290804	8003089	7646946.5	81.0791	90.6168	85.84795	4.28138	4.28138	4.28138	201440461	5255.014243602118	26.34260106305177
BS04_120_524-1	chopperk13	6886660	8680701	7783680.5	86.0078	91.9117	88.95975	1.66013	1.66013	1.66013	201440461	5255.014243602118	25.87984707234579
BS04_120_524-1	chopperk101	46982	47362	47172	85.5427	85.5427	85.5427	3.49172	3.49172	3.49172	201440461	5255.014243602118	4270.339629441194
BS04_120_524-1	chopper	45459	46395	45927	70.002	70.002	70.002	14.4591	14.4591	14.4591	201440461	5255.014243602118	4386.1010081215845
BS04_120_524-1	np	54090	54817	54453.5	89.9501	89.9501	89.9501	13.5312	13.5312	13.5312	253644178	624.910204514042	4657.995868034194
BS04_120_524-1	illumina	25408585	25459199	25433892	97.4189	97.4433	97.43109999999999	0.70253	0.70253	0.70253	3018570912	127	118.68301210054678
BS05_240_246-2	chopperk57p1	31800920	32326281	32063600.5	86.8195	88.299	87.55925	1.14002	1.14002	1.14002	1087734405	2745.8402353719275	33.92427512936359
BS05_240_246-2	chopperk21p1	33155216	34982981	34069098.5	85.3285	90.8121	88.0703	2.1848	2.1848	2.1848	1087734405	2745.8402353719275	31.92730224429038
BS05_240_246-2	chopperk13p1	17209438	NA	NA	86.2565	59.9659	73.1112	0	0	0	1087734405	2745.8402353719275	NA
BS05_240_246-2	chopperk13	1316107	NA	NA	87.2134	89.3408	88.27709999999999	0.00522697	0.00522697	0.00522697	1087734405	2745.8402353719275	NA
BS05_240_246-2	chopperk101	17524212	17914814	17719513	96.3662	97.8017	97.08395	0.695859	0.695859	0.695859	1087734405	2745.8402353719275	61.38624718410715
BS05_240_246-2	chopper	17012936	18400145	17706540.5	87.9148	91.3006	89.6077	2.06397	2.06397	2.06397	1087734405	2745.8402353719275	61.43122113548945
BS05_240_246-2	np	18405298	18560885	18483091.5	92.6699	96.3597	94.51480000000001	2.32232	2.32232	2.32232	1490081704	1194.0656619969773	80.61864023126218
BS05_240_246-2	illumina	25559115	27183390	26371252.5	97.6457	97.6457	97.6457	1.72965	1.72965	1.72965	8145996041	127	308.89682016430584
BS05_240_248-5	chopperk57p1	31445365	31470433	31457899	98.1053	98.4752	98.29025	0.549515	0.549515	0.549515	2355362137	2781.679565534207	74.87347254182487
BS05_240_248-5	chopperk21p1	31519386	31539313	31529349.5	98.1067	98.6037	98.3552	0.796371	0.796371	0.796371	2355362137	2781.679565534207	74.70379739359988
BS05_240_248-5	chopperk13p1	29697131	30334129	30015630	64.3271	78.494	71.41055	0.345662	0.345662	0.345662	2355362137	2781.679565534207	78.47118774451845
BS05_240_248-5	chopperk13	15066159	15155643	15110901	88.0931	88.0931	88.0931	0.346194	0.346194	0.346194	2355362137	2781.679565534207	155.87172048840768
BS05_240_248-5	chopperk101	31768188	31793340	31780764	98.0448	98.5763	98.31055	0.428119	0.428119	0.428119	2355362137	2781.679565534207	74.11282299569639
BS05_240_248-5	chopper	31669342	31688569	31678955.5	98.0632	98.7464	98.4048	0.773612	0.773612	0.773612	2355362137	2781.679565534207	74.35100368129245
BS05_240_248-5	np	15721098	15733306	15727202	98.1439	98.1439	98.1439	0.927819	0.927819	0.927819	3522437304	1025.452430969593	223.9710092106657
BS05_240_248-5	illumina	30795245	30850551	30822898	97.3662	97.4152	97.39070000000001	0.678237	0.678237	0.678237	4510150106	127	146.32466116586443
BS05_360_328-3	chopperk57p1	34248953	34293147	34271050	98.6117	99.2061	98.9089	0.473875	0.473875	0.473875	1145625220	2828.1176743588985	33.42836650759168
BS05_360_328-3	chopperk21p1	34591282	34630473	34610877.5	97.5805	98.977	98.27875	0.693399	0.693399	0.693399	1145625220	2828.1176743588985	33.1001495122451
BS05_360_328-3	chopperk13p1	32313112	33776922	33045017	58.9237	79.5176	69.22065	0.265652	0.265652	0.265652	1145625220	2828.1176743588985	34.66862250365917
BS05_360_328-3	chopperk13	17114428	17302582	17208505	84.8535	90.7912	87.82235	0.267481	0.267481	0.267481	1145625220	2828.1176743588985	66.57319854339468
BS05_360_328-3	chopperk101	16844404	16875066	16859735	98.7165	98.8714	98.79395	0.384719	0.384719	0.384719	1145625220	2828.1176743588985	67.95036932668278
BS05_360_328-3	chopper	34767703	34790697	34779200	98.2408	99.4383	98.83955	0.673524	0.673524	0.673524	1145625220	2828.1176743588985	32.93995319041266
BS05_360_328-3	np	34896226	34916912	34906569	97.8135	98.9513	98.3824	0.76645	0.76645	0.76645	1908857444	864.3203050748764	54.68476274480027
BS05_360_328-3	illumina	32602368	32659979	32631173.5	97.2849	97.4009	97.34289999999999	0.78632	0.78632	0.78632	3632577133	127	111.32229531984193
BS05_CNT_273-5	chopperk57p1	48370041	48790422	48580231.5	97.1705	99.419	98.29475	0.588625	0.588625	0.588625	1306923816	2005.2686495485198	26.902379335100534
BS05_CNT_273-5	chopperk21p1	49500904	49874070	49687487	95.4719	98.6267	97.0493	0.755723	0.755723	0.755723	1306923816	2005.2686495485198	26.302876134588978
BS05_CNT_273-5	chopperk13p1	770723	NA	NA	79.5797	18.669	49.12435	0	0	0	1306923816	2005.2686495485198	NA
BS05_CNT_273-5	chopperk13	2945	NA	NA	79.35	6.46604	42.90801999999999	0	0	0	1306923816	2005.2686495485198	NA
BS05_CNT_273-5	chopperk101	41380651	60514439	50947545	96.0675	97.4616	96.76455	0.463324	0.463324	0.463324	1306923816	2005.2686495485198	25.652341364044137
BS05_CNT_273-5	chopper	48384314	51253399	49818856.5	95.4018	98.5153	96.95855	0.747495	0.747495	0.747495	1306923816	2005.2686495485198	26.23351694152193
BS05_CNT_273-5	np	48724592	48796192	48760392	97.0056	98.7044	97.855	0.82122	0.82122	0.82122	3666884160	592.3680105999583	75.2021058403304
BS05_CNT_273-5	illumina	42174885	42301497	42238191	97.5183	97.5183	97.5183	0.861963	0.861963	0.861963	7999039850	127	189.37931906222025
BS06_120_434-1	chopperk57p1	49842840	50574886	50208863	88.3604	88.7115	88.53595	0.621901	0.621901	0.621901	2346627735	3871.8949142586544	46.737320759484234
BS06_120_434-1	chopperk21p1	50727364	51670066	51198715	84.3825	85.427	84.90475	1.11387	1.11387	1.11387	2346627735	3871.8949142586544	45.83372326825
BS06_120_434-1	chopperk13p1	18288478	NA	NA	91.8139	25.7017	58.7578	0.00389045	0.00389045	0.00389045	2346627735	3871.8949142586544	NA
BS06_120_434-1	chopperk13	33304171	54366480	43835325.5	91.119	82.6978	86.9084	0.0200499	0.0200499	0.0200499	2346627735	3871.8949142586544	53.53280050355734
BS06_120_434-1	chopperk101	24370507	24645041	24507774	91.4767	91.6633	91.57	0.465797	0.465797	0.465797	2346627735	3871.8949142586544	95.75034170790052
BS06_120_434-1	chopper	54051319	54697733	54374526	81.4577	82.2907	81.8742	0.528378	0.528378	0.528378	2346627735	3871.8949142586544	43.15674834572351
BS06_120_434-1	np	57785447	59164042	58474744.5	80.1701	81.1203	80.6452	0.574751	0.574751	0.574751	2772765265	1726.2588281364788	47.41816811187606
BS06_120_434-1	illumina	46471156	46699457	46585306.5	96.4099	96.4755	96.4427	0.685423	0.685423	0.685423	4994175224	126	107.20494506137895
BS06_120_435-5	chopperk57p1	24582634	24603026	24592830	98.8075	98.9201	98.8638	0.543225	0.543225	0.543225	905200843	4435.671759615432	36.80751027840228
BS06_120_435-5	chopperk21p1	24661291	24686957	24674124	98.1456	98.3399	98.24275	0.817064	0.817064	0.817064	905200843	4435.671759615432	36.68624033015316
BS06_120_435-5	chopperk13p1	24006688	24752512	24379600	66.8124	86.1276	76.47	0.416961	0.416961	0.416961	905200843	4435.671759615432	37.1294378496776
BS06_120_435-5	chopperk13	12328238	12417670	12372954	88.5028	92.5502	90.5265	0.418516	0.418516	0.418516	905200843	4435.671759615432	73.15963859560134
BS06_120_435-5	chopperk101	12276473	12287390	12281931.5	99.1773	99.3095	99.24340000000001	0.43591800000000003	0.43591800000000003	0.43591800000000003	905200843	4435.671759615432	73.7018312632667
BS06_120_435-5	chopper	24668851	24739351	24704101	97.9945	98.2117	98.1031	0.811402	0.811402	0.811402	905200843	4435.671759615432	36.64172369599687
BS06_120_435-5	np	24804108	24862578	24833343	97.2528	97.6053	97.42904999999999	0.95467900000000006	0.95467900000000006	0.95467900000000006	1185507120	1409.0048836493422	47.738523162185615
BS06_120_435-5	illumina	23236097	23351313	23293705	96.93	96.93	96.93	0.675017	0.675017	0.675017	6512031713	127	279.56186931190206
BS06_240_394-4	chopperk57p1	28084565	28097702	28091133.5	99.2493	99.6412	99.44525	0.714706	0.714706	0.714706	1463175226	1977.2317557012589	52.08672786379375
BS06_240_394-4	chopperk21p1	28138908	28150487	28144697.5	99.1123	99.5614	99.33685	1.05178	1.05178	1.05178	1463175226	1977.2317557012589	51.987598232313566
BS06_240_394-4	chopperk13p1	27135588	27978361	27556974.5	64.7362	83.1017	73.91895	0.447345	0.447345	0.447345	1463175226	1977.2317557012589	53.09636680180547
BS06_240_394-4	chopperk13	13952082	14078431	14015256.5	87.3495	90.6625	89.006	0.451974	0.451974	0.451974	1463175226	1977.2317557012589	104.3987476076517
BS06_240_394-4	chopperk101	28399170	28420406	28409788	99.0143	99.6961	99.3552	0.548228	0.548228	0.548228	1463175226	1977.2317557012589	51.502504207352764
BS06_240_394-4	chopper	28203765	28212754	28208259.5	99.1226	99.6409	99.38175000000001	1.03997	1.03997	1.03997	1463175226	1977.2317557012589	51.87045397111438
BS06_240_394-4	np	28002595	28027589	28015092	98.2741	98.2741	98.2741	0.975126	0.975126	0.975126	5049727315	610.0489690400947	180.25024922281176
BS06_240_394-4	illumina	27027817	27070773	27049295	97.6535	97.6535	97.6535	0.686308	0.686308	0.686308	4786705135	127	176.9622881113907
BS06_360_361-6	chopperk57p1	2550	NA	NA	6.18771	0.211375	3.1995425	2.5227	2.5227	2.5227	29609888	12594.59293917482	NA
BS06_360_361-6	chopperk21p1	5592	NA	NA	13.2812	0.561257	6.9212285	3.99431	3.99431	3.99431	29609888	12594.59293917482	NA
BS06_360_361-6	chopperk13p1	8352	NA	NA	18.7108	0.822277	9.7665385	3.76009	3.76009	3.76009	29609888	12594.59293917482	NA
BS06_360_361-6	chopperk13	33489	37986	35737.5	68.9519	83.9831	76.4675	10.3112	10.3112	10.3112	29609888	12594.59293917482	828.5383140958377
BS06_360_361-6	chopperk101	7939	NA	NA	4.19451	0.0336675	2.11408875	1.70092	1.70092	1.70092	29609888	12594.59293917482	NA
BS06_360_361-6	chopper	29917	33771	31844	64.5832	81.7954	73.1893	8.05093	8.05093	8.05093	29609888	12594.59293917482	929.8419796507976
BS06_360_361-6	np	52575	58818	55696.5	67.0383	84.1938	75.61605	7.8939	7.8939	7.8939	46870374	408.53118217713046	841.5317659098866
BS06_360_361-6	illumina	33482812	33576560	33529686	95.8505	96.3873	96.1189	0.695223	0.695223	0.695223	4713817388	127	140.5863862846792
BS06_CNT_340-4	chopperk57p1	27037693	27083104	27060398.5	97.4633	97.5457	97.50450000000001	0.502375	0.502375	0.502375	1449348868	1925.7507065365426	53.55977547780754
BS06_CNT_340-4	chopperk21p1	27184345	27236439	27210392	96.8015	97.0187	96.9101	0.628169	0.628169	0.628169	1449348868	1925.7507065365426	53.264534667490274
BS06_CNT_340-4	chopperk13p1	25733041	26460546	26096793.5	68.6495	85.7485	77.19900000000001	0.268943	0.268943	0.268943	1449348868	1925.7507065365426	55.53743098745062
BS06_CNT_340-4	chopperk13	13259081	13341814	13300447.5	92.156	94.015	93.0855	0.270649	0.270649	0.270649	1449348868	1925.7507065365426	108.96993262820668
BS06_CNT_340-4	chopperk101	27011770	27169593	27090681.5	97.7532	97.958	97.85560000000001	0.410555	0.410555	0.410555	1449348868	1925.7507065365426	53.49990431211559
BS06_CNT_340-4	chopper	27171372	27265466	27218419	96.7631	97.0311	96.8971	0.627578	0.627578	0.627578	1449348868	1925.7507065365426	53.248826392157454
BS06_CNT_340-4	np	27125576	27192789	27159182.5	95.8384	96.0121	95.92525	0.670526	0.670526	0.670526	2266066478	1050.1462459531629	83.43647596903921
BS06_CNT_340-4	illumina	24904220	24927881	24916050.5	99.1808	99.1808	99.1808	0.701144	0.701144	0.701144	5067995575	127	203.4028456877626
BS08_120_142-3	chopperk57p1	88190	89360	88775	79.2394	81.7107	80.47505000000001	6.58638	6.58638	6.58638	265271830	2221.3722386909844	2988.1366375668827
BS08_120_142-3	chopperk21p1	97596	100685	99140.5	77.028	79.5176	78.2728	15.9914	15.9914	15.9914	265271830	2221.3722386909844	2675.716079705065
BS08_120_142-3	chopperk13p1	11986004	NA	NA	88.3305	33.05	60.69025	0.0113727	0.0113727	0.0113727	265271830	2221.3722386909844	NA
BS08_120_142-3	chopperk13	5977806	6875640	6426723	90.4392	94.0842	92.26169999999999	2.45172	2.45172	2.45172	265271830	2221.3722386909844	41.276375222644575
BS08_120_142-3	chopperk101	94084	95434	94759	75.5322	86.8985	81.21535	3.81365	3.81365	3.81365	265271830	2221.3722386909844	2799.436781730495
BS08_120_142-3	chopper	109685	111233	110459	75.7457	79.6639	77.7048	15.5346	15.5346	15.5346	265271830	2221.3722386909844	2401.5411148027774
BS08_120_142-3	np	108961	112107	110534	74.2311	75.9425	75.0868	15.5752	15.5752	15.5752	345546528	1296.8385719057394	3126.156006296705
BS08_120_142-3	illumina	32841300	32911076	32876188	96.7616	96.7616	96.7616	0.599565	0.599565	0.599565	5427392332	127	165.08581627529324
BS08_360_127-6	chopperk57p1	56932183	66015786	61473984.5	51.101	52.6882	51.8946	0.475277	0.475277	0.475277	3776405329	2554.6165401784656	61.43095099033315
